"ALPHA3CODE","NAME_A","NAME_C","NAME_E","NAME_F","NAME_R","NAME_S","AUTHOR"
"JAS","","","Japanese sandfish","Toroumoque japonai","","","(Steindachner 1881)"
"CLO","","","Peacock cichlid","","","Sargento","Bloch & Schneider 1801"
"TLS","","","Banded tilapia","","","","Smith 1840"
"ETS","","","Pearlspot","","","","(Bloch 1790)"
"EPI","","","Black cardinal fis","Poisson cardinal","Эпигонус-телескоп","Boca negra(=Pez de","(Risso 1810)"
"SYS","","","Splitfins nei","Macondes nca","","Macondas, dentiño",""
"SYN","ماكوندة  المصبّ سوداء الفم","光棘尖牙鲷","Blackmouth splitfi","Maconde bouche noi","Синагропс японский","Maconda boquinegra","(Döderlein 1883)"
"TEJ","قاروس ضخم","巨尖鳞鲈","Giant seabass","Bar gigantesque","","Lubina gigante","Ayres 1859"
"MPS","","","Largemouth black b","Achigan à grande ","Форелеокунь (=окунь большеротый черный)","Perca atruchada","(Lacépède 1802)"
"PQX","","","Star-shaped limpet","Patelle flexueuse","","","Quoy & Gaimard 1834"
"GJR","سُنبُكِية مُقَعَّرة","凹陀峰螺","Concave gibbula","Troque rariline","","Peonza concava","(Michaud 1829)"
"GJI","سُنبُكِيَّة ريشارد","李氏陀峰螺","Richard's gibbula","Troque de Richard","","Peonza de Richard","(Payraudeau 1826)"
"GJV","سُنبُكِيَّة مُتَغَيِّرة","杂色陀峰螺","Variegate gibbula","Troque variable","","Peonza variante","(Linnaeus 1758)"
"NQM","مونودونط وَسَطِِيّة","多变单齿螺","Mutable monodont","Monodonte intermed","","Peonza mutable","(Philippi 1846)"
"HOW","عَنَفِية مرجانية اللون","血色平厣螺","Blood-stained turb","Turbo corallin","","Peonza sanguinea","(Linnaeus 1758)"
"TIS","","","Tilefishes nei","Tiles nca","","Blanquillos, palet",""
"TRF","","","False trevally","Péliau chanos","","Pagapa","(Bloch & Schneider 1801)"
"BLU","","","Bluefish","Tassergal","Луфарь","Anjova","(Linnaeus 1766)"
"ZDF","فولوت زاوية","尖头涡螺","Angulate volute","Volute angulée","","Voluta angulosa","(Donovan 1823)"
"FPY","","","American yellow pe","Perchaude","","Perca canadiense","(Mitchill 1814)"
"STV","","","Walleye","Sandre américain","","Lucioperca america","(Mitchill 1818)"
"FPP","","","Pike-perch","Sandre","Судак","Lucioperca","(Linnaeus 1758)"
"URK","مُرِّيق بلانفيل","冠毛棘刺骨螺","Blainville's murex","Murex de Blainvill","","Busano de Blainvil","(Brocchi 1814)"
"KLK","برنيق أشقر","光滑仙女蛤","Smooth callista","Vernis fauve","","Almejon","(Linnaeus 1758)"
"KNN","","","Cross-barred venus","","","","(Linnaeus 1767)"
"HMC","","","Cape horse mackere","Chinchard du Cap","Ставрида капская","Jurel del Cabo","Castelnau 1861"
"HMZ","","","Cunene horse macke","Chinchard du Cunè","Ставрида западноафриканская","Jurel de Cunene","Cadenat 1950"
"SDX","","","Scads nei","Comètes nca","Ставриды десятиперные (=ставриды сигарные)","Macarelas nep",""
"WEC","","","Round scad","Comète quiaquia","","Macarela chuparaco","(Cuvier 1829)"
"RUS","","","Indian scad","Comète indienne","","Macarela índica","(Rüppell 1830)"
"ERF","","","Peruvian yellow cl","","","","(Lamarck 1818)"
"GFD","","","Discrepant venus","Circe mouchetée","","","(Holten 1802)"
"GFK","","","Forked venus","Circe divariquée","","","(Gmelin 1791)"
"GFJ","","","Tumid venus","Circe gibbeuse","","","Roding 1798"
"GFQ","","","Equilateral venus","Vénus équilatér","","","(Sowerby 1826)"
"KTH","","","Hiant venus","Vénus sillonnée","","","(Lamarck 1818)"
"KYJ","","","Japan venus","Vénus japonaise","","","(Gmelin 1791)"
"KYM","","","Marbled venus","Vénus marbrée","","","(Lamarck 1818)"
"IKK","","","Camp pitar venus","Pitar aide-de-camp","","","(Linnaeus 1758)"
"IKO","","","Ornate pitar venus","Pitar orné","","","(Dillwyn 1817)"
"KMT","","","Tiar venus","Vénus tiare","","","(Dillwyn 1817)"
"ROQ","فينوس مِبشَر","糙壳布目蛤","Rough littleneck","Vénus râpe","","Taca lima","(Sowerby 1835)"
"CVJ","","","Crevalle jack","Carangue crevalle","","Jurel común","(Linnaeus 1766)"
"CXR","","","Bar jack","Carangue comade","","Cojinúa carbonera","(Bloch 1793)"
"MOA","","","Atlantic moonfish","Musso atlantique","","Jorobado lamparosa","(Mitchill 1815)"
"POX","","","Pompanos nei","Pompaneaux nca","Трахиноты (=помпано)","Pámpanos(=Palomet",""
"GEY","","","Deep-sea crabs, ge","Gérionidés nca","","Geriones nep",""
"TVR","فِينوس مُثَلَّثة","三角帘蛤","Triple venus","Vénus triple","","Tivela triple","(Linnaeus 1771)"
"VUC","فينوس مُتَجَعِّدة","皱纹蛤仔","Corrugated venus","Clovisse ridée","","Margarita arrugada","(Gmelin 1791)"
"VUF","شاطئِيَّة مُمَوَّجة","多叶帘蛤","Plicate venus","Praire ondulee","","Venus plegada","Romer 1865"
"KMV","","","Scallop","","","","(Lamarck 1819)"
"KKC","","","Venus clam","","","","(Born 1778)"
"RFM","","","Ovate clam","","","","(Gmelin 1791)"
"SOZ","","","Solenocerid shrimp","Salicoques, solén","","Camarones solenoce",""
"SAM","سردينة بالي","黄泽小沙丁鱼","Bali sardinella","Sardinelle de Bali","","Sardinela de Balí","Bleeker 1853"
"JAP","","","Japanese pilchard","Pilchard du Japon","Сардина-сардинопс дальневосточная","Sardina japonesa","(Temminck & Schlegel 1846)"
"CPI","","","California pilchar","Pilchard de Califo","","Sardina monterrey","(Girard 1854)"
"SHD","صابوغة حقيقية و مُصنَّعة","西鲱","Allis and twaite s","Aloses vraie et fe","","Sábalo común y s",""
"SHA","","","American shad","Alose savoureuse","","Sábalo americano","(Wilson 1811)"
"BVD","","","","","","Dama","Günther 1860"
"DMO","","","Siliceous sponges","","","",""
"HXY","","","Glass sponges","","","",""
"PFR","","","","","","",""
"BZN","","","Bryozoans","","","",""
"CVD","","","Pencil urchins","","","",""
"OOY","","","Brittle and snake ","","","",""
"BVH","","","Brachiopods, lamp ","","","",""
"POO","بومبانو قمريّ","狮鼻鲳鯵","Snubnose pompano","Pompaneau lune","","Pámpano lunero","(Lacépède 1801)"
"POP","","","Pompano","Palomine","Трахинот европейский","Pámpano blanco","(Linnaeus 1758)"
"PPL","بومبانو ضخم","谷氏鲳鯵","Great pompano","Pompaneau guatie","","Palometa(=Pámpano","Jordan & Evermann 1896"
"AMB","","","Greater amberjack","Sériole couronné","","Pez de limón","(Risso 1810)"
"RQC","فينوس كولومبية","哥伦比亚布目蛤","Columbian littlene","Vénus colombienne","","Almejuela colombia","(Sowerby 1835)"
"RQG","فينوس قزم","小布目蛤","Lesser littleneck","Vénus naine","","Taca menor","(Say 1831)"
"RQE","","","Brazilian comb ven","","","","(Lamarck 1818)"
"QAS","عِمامة حَلَزونِيَّة","旋生爱神蛤","Spirate turban","Turban spiral","","Turbante espiral","(Dall 1911)"
"UBX","عِمامة الصُّخور","石头蝾螺","Stone turban","Turban des rochers","","Turbante saxo","Wood 1828"
"UBQ","عِمامة ذات قُشُور","有鳞蝾螺","Squamate turban","Turban écailleux","","Turbante escamoso","Reeve 1843"
"RVP","","","Northern rockfish","","","","(Taranetz & Moiseev 1933)"
"OHQ","رِجل الحَوْصَل","潘氏鹈鹕掌螺","Common pelican-foo","Pied de pélican","","Pie de pelicano","(Linnaeus 1758)"
"AKS","","","Akiami paste shrim","Chevrette akiami","","Camaroncillo akiam","Kishinouye 1905"
"CIX","","","Cichlids nei","Cichlidés nca","Цихлиды","Cíclidos nep",""
"TLP","","","Tilapias nei","Tilapias nca","Тилапии","Tilapias nep",""
"TQI","تِيلِّين أُرجُوانِية","肉色樱蛤","Fleshy tellin","Telline pourpre","","Telina encarnada","Linnaeus 1758"
"TQT","تِيلِّين مُسَطَّحة","扁平樱蛤","Flat tellin","Telline aplatie","","Telina plana","Linnaeus 1758"
"TQS","","","Cross tellin","Telline croisette","","","Lamarck 1818"
"TQV","","","Virgate tellin","Telline vergée","","","Linnaeus 1758"
"HJQ","","","China clam","Bénitier porcelai","","","Rosewater 1982"
"AYQ","","","King's littleneck","","","","(King & Brodeerip 1832)"
"ITU","","","Purple amiantis","","","","(Lamarck 1818)"
"NKB","","","West Indian pointe","","","","(Gmelin 1791)"
"NHE","","","Annelid worms","","","",""
"SZS","","","Serpulid tube worm","","","",""
"BWY","","","","","","",""
"PBQ","","","Pterobranchs","","","",""
"XEF","","","Xenophyophores","","","",""
"AZN","","","Hydroids, hydromed","","","",""
"XSC","","","Chinese noodlefish","","","","(Osbeck 1765)"
"LKY","سُلحفاة كِيمْب","印度洋丽龟","Kemp's ridley turt","Tortue de Kemp","","Tortuga lora","(Garman 1880)"
"DIM","","","Black-browed albat","Albatros à sourci","","Albatros ceja negr","(Temminck 1828)"
"PYD","","","Adelie penguin","Manchot d'Adélie","","Pingüino de Adelia","Hombron & Jaquinot 1841"
"RAS","","","Rainbow sardine","Sardine arc-en-cie","","Sardina arco iris","Valenciennes 1847"
"RAL","سردين قوس قزح  رقيق             ","细圆腹鲱","Slender rainbow sa","Sardine arc-en-cie","","Sardina arco iris ","Bleeker 1849"
"RRH","","","Red-eye round herr","Shadine ronde","","Sardineta canalera","(DeKay 1842)"
"SAS","","","Scaled sardines","Harengules","","Sardinetas",""
"ASP","","","Caspian shads","Aloses de la mer C","Пузанки","Sábalos del Mar C",""
"CHG","","","Chacunda gizzard s","Alose chaconde","Чакунда","Sábalo chacunda","(Hamilton 1822)"
"MHP","","","Argentine menhaden","Menhaden d'Argenti","","Lacha","(Jenyns 1842)"
"RCQ","بُوطامِيد هامبولَدَتْ","角海蜷","Humboldt's potamid","Toutout chilien","","Torreon de Humbold","(Valenciennes 1832)"
"TBG","دُلآَّع ضخم للمُحيط الهادِئ","东太平洋大凤凰螺","Giant Eastern Paci","Strombe cambute","","Cobo cambute","Swainson 1823"
"KSM","","","Calico clam","","","","(Linnaeus 1758)"
"KSN","","","Sunray venus","","","","(Lightfoot 1786)"
"KIO","","","Fertile venus","Vénus fertile","","","(Gmelin 1791)"
"TLN","","","Nile tilapia","Tilapia du Nil","Тилапия нильская","Tilapia del Nilo","(Linnaeus 1758)"
"STA","","","Three spotted tila","","","","(Castelnau 1861)"
"CHL","","","Jaguar guapote","","","Guapote tigre","(Günther 1867)"
"KYC","شوبة البحر الزّرقاء","长鳍鮀","Blue sea chub","Calicagère bleue","","Chopa azul","(Forsskål 1775)"
"SPA","","","Spadefishes nei","Chèvres, disques ","","Pagualas nep",""
"SIC","","","African sicklefish","Forgeron ailé","Дрепана африканская","Catemo africano","Osório 1892"
"BUS","","","Butterflyfishes","Papillons","","Pescados mariposa",""
"DYD","محارة مُشوَّكة أروبية","欧洲海菊蛤","European thorny oy","Spondyle pied-d'â","","Ostra roja","Linnaeus 1758"
"DYJ","","","Digitate thorny oy","","","","Reeve 1856"
"MQF","","","Short macoma","","","","(Say 1834)"
"OKC","","","Constricted macoma","","","","(Bruguière 1792)"
"TQL","","","Alternate tellin","","","","Say 1822"
"IKS","","","Fringed pearl oyst","","","","(Reeve 1857)"
"TEW","","","Western wing oyste","Avicule ailee","","","(Gould 1851)"
"SRZ","","","Radiate semele","","","","(Ruppel in Sowerby 1853)"
"SVT","","","Constricted tagelu","","","","(Lamarck 1818)"
"TGZ","تاغال دُومْبِي","董氏截蛏","Dombey's tagelus","Tagal de Dombey","","Tagelo berberecho","(Lamarck 1818)"
"TEX","","","Stout tagelus","","","","(Lightfoot 1786)"
"DYM","","","Atlantic thorny oyster","","","","Hermann 1781"
"MUR","""طرستوج  الصّخرة، سمك السّلطان سليمان الصّخريّ    ","纵带羊鱼","Surmullet","Rouget de roche","","Salmonete de roca","Linnaeus 1758"
"MUT","","","Red mullet","Rouget de vase","Султанка обыкновенная (=барабулька)","Salmonete de fango","Linnaeus 1758"
"GOA","","","West African goatf","Rouget du Sénéga","Султанка западноафриканская","Salmonete barbudo","(Cuvier 1829)"
"PLL","بروشيلود مُضلَّع","条纹鲮脂鲤","Streaked prochilod","Prochilode rayé","","Sábalo rayado","(Valenciennes 1836)"
"HAF","","","Hatchetfishes nei","Haches d'argent nc","","Hachas de plata ne",""
"ARP","","","Arapaima","","","Paiche","(Schinz 1822)"
"CSY","","","Upsidedown catfish","","","",""
"LAA","","","Argentine red shri","Salicoque rouge d'","","Camarón langostí","(Bate 1888)"
"SOK","","","Kolibri shrimp","Salicoque colibrí","","Camarón chupaflor","Faxon 1893"
"PDZ","","","Pandalid shrimps n","Crevettes pandalid","","Camarones pandáli",""
"PSH","","","Pacific shrimps ne","Crevettes océan P","","Camarones Océano ",""
"PRA","","","Northern prawn","Crevette nordique","Креветка северная","Camarón norteño","Krøyer 1838"
"AES","","","Aesop shrimp","Crevette ésope","","Camarón esópico","Leach 1814"
"SHS","","","Sergestid shrimps ","Crevettes sergesti","","Camarones sergést",""
"BCP","بوق أو بوقسان هُومفري","和尚蛾螺","Humphrey's buccinu","Buccin d'Humphrey","","Caracolillo de Hum","Bennett 1825"
"PIZ","بوق أو بوقسان تَرُوتَة","利齿蛾螺","Striate pisania","Buccin truite","","Caracolillo estria","(Gmelin 1791)"
"HXF","ٌقَصَبِيَّة مُزيَّفة صغيرة غربية ","太平洋异斧蛤","Western small fals","Fausse donace biga","","Asafis occidentali","(Conrad 1837)"
"HUQ","","","Chinese sanguin","","","","(Morch 1853)"
"UNU","","","Operculate sanguin","","","","(Lightfoot 1786)"
"IKN","","","Jingle pearl oyste","","","","(Reeve 1857)"
"IKP","","","Cape pearl-oyster","","","","(Sowerby 1889)"
"IKH","","","Tiled pearl oyster","","","","(Philippi 1847)"
"IKI","","","Atlantic pearl oys","","","","(Roding 1798)"
"CEZ","","","Picarels, etc. nei","Picarels, etc. nca","","Picareles, etc. ne",""
"BPI","","","Blotched picarel","Mendole","Мэнола","Chucla","(Linnaeus 1758)"
"MUM","","","Goatfishes, red mu","Rougets, etc. nca","Султанковые","Salmonetes, etc. n",""
"KGG","","","Gulf kingcroaker","Bourrugue du Golfe","","Lambe verrugato","(Holbrook 1855)"
"YIX","إيربيان الصَّخرة مزدوِج","拌合单肢虾","Mixed rock shrimp","Boucot mixte","","Camarón de piedra","Burkenroad 1946"
"YIK","إيربيان الصّخرة صغير فول سوداني","小花生单肢虾","Small peanut rock","Petit boucot cacah","","Camarón cacahuete","Faxon 1893"
"YIV","إيربيان الصّخرة مُقوّر لمِنْطقة الجزر","光溜单肢虾","Notched tidal rock","Boucot échancré ","","Camarón conchidur","Stimpson 1871"
"PPZ","","","Freshwater prawns,","Crevettes d'eau do","Креветки пресноводные","Gambas,camaron.(ag",""
"PAL","","","Palaemonid shrimps","Crevettes palémon","","Camarones palemón",""
"ARI","","","Aristeid shrimps n","Gambons,crevet. ar","","Gambas aristeidos ",""
"TQH","","","Indian yellow-nose","Albatros de l'océ","","Albatros índico p","(Rothschild 1903)"
"SSH","","","Scarlet shrimp","Gambon écarlate","","Gamba carabinero","(Johnson 1868)"
"ARA","","","Blue and red shrim","Crevette rouge","","Gamba rosada","(Risso 1816)"
"MET","","","Metapenaeus shrimp","Crevettes Metapena","","Camarones Metapena",""
"MPN","إيربيان مُرقَّشة","独角新对虾","Speckled shrimp","Crevette moucheté","","Gamba moteada","(Fabricius 1798)"
"RVM","","","Blackgill rockfish","","","","(Eigenmann & Eigenmann 1890)"
"UPQ","أُرجُوانة غليظة الرِّجلين","宽足荔枝螺","Wide-foot purpura","Pourpre pattue","","Púrpura patuda","Gould 1853"
"KFT","مُرِّيق بُرَيْج","角塔热骨螺","Turreted drill","Murex tourelle","","Busano torrecilla","(Dall 1919)"
"UUR","مُرِّيق عقرب","鹬首螺","Bent-beak murex","Murex scorpion","","Busano alacran","(Broderip 1833)"
"YSY","مَشقوق غِشاء الجنب ضخم و نبيل","高贵卷管螺","Noble giant turrid","Pleurotome noble","","Pleurotoma noble","(Hinds 1843)"
"YSX","مشقوق غِشاء الجنب ذو بدن أبيض","白纹卷管螺","White keeled turri","Pleurotome à car ","","Pleurotoma de quil","(Sowerby 1834)"
"HAS","","","Torpedo scad","Comète torpille","","Macarela torpedo","(Linnaeus 1758)"
"BUZ","","","Bumpers nei","Sapaters nca","","Casabes nep",""
"PAO","بارونة مضيئة","拟鲳鯵","Parona leatherjack","Sauteur parone","","Parona","(Jenyns 1841)"
"TRY","","","Yellowstripe scad","Sélar à bande do","","Chicharro banda do","(Cuvier 1833)"
"POB","","","Black pomfret","Castagnoline noire","","Palometa negra","(Bloch 1795)"
"NDT","أُمّ الخلول شُعاعِيَة","多棱粗饰蚶","Many ribbed ark","Arche rayonnante","","Arca piangua","(Sowerby 1833)"
"NDO","","","Nodular ark","Arche noduleuse","","","(Martens 1860)"
"TBV","دُلاَّع عُرْفُ الدِّيك","秘鲁凤凰螺","Cock's comb conch","Strombe crête de ","","Cobo cresta de gal","Swainson 1823"
"TBQ","دُلآع مُحبَّب","墨西哥凤凰螺","Granulated conch","Strombe granuleux","","Cobo granulado","Swainson 1822"
"GQO","","","Kelp nei","Kelps nca","","Huiros nep",""
"ASN","","","North Atlantic roc","","","","(Linnaeus) Le Jolis 1863"
"YQT","سِيستُوسِيرَة مذهّبة","金色囊链藻","Golden Cystoseira","Cystoseire dorée","Цистозира бородатая","Cistosira barbuda","(Goodenough & Woodward) C. Agardh 1822"
"SWR","الطحالب  الحمراء","红藻纲","Red seaweeds","Algues rouges","Водоросли красные морские","Algas rojas",""
"EMI","طحالب أوشوما شائكة","锯齿麒麟菜","Spiny eucheuma","Eucheuma épineuse","","Eucheuma espinosa","(Burman) Collins & Harvey 1917"
"HAZ","أَذَن البحر سوداء","黑鲍","Black abalone","Ormeau noir","","Abulón negro","Leach 1814"
"HSW","أُذن البحر بيضاء","白鲍","White abalone","Ormeau blanc","","Abulón blanco","Bartsch 1940"
"HXK","مُرِّيق أمير","王子六丛螺","Prince murex","Murex prince","","Busano principe","(Broderip 1833)"
"HQK","فَرْفُورَة كالو","卡谬荔枝螺","Callao rock shell","Pourpre de Callao","","Púrpura de Callao","(Gray 1828)"
"KDU","صَحنِيَّة مُشَوَّكَة","刺履螺","Spiny slipper shel","Crepidule épineus","","Pique espinoso","(Gmelin 1791)"
"KDX","صَحنِيَّة المُحيط الهادئ","穴居履螺","Excavated slipper ","Crepidule du Pacif","","Pique del Pacífic","Broderip 1834"
"KDY","صَحنِيَّة جَزْع","玛瑙履螺","Onyx slipper shell","Crepidule onyx","","Pique onyx","Sowerby 1824"
"PBA","","","Banana prawn","Crevette banane","","Langostino banana","De Man 1888"
"AMS","","","Brine shrimp","Crevette de saline","","Artemia","Linnaeus 1758"
"PCB","","","Barnacle","Pouce-pied","","Percebe","(Gmelin 1789)"
"KRX","","","Antarctic krill ne","Krill antarctique ","","Krill antártico n",""
"LXX","","","Lanternfishes nei","Lanternules nca","Миктофовые (=светящиеся анчоусы)","Peces linterna nep",""
"ELC","","","Electron subantarc","","Электрона Карлсберга","","(Tåning 1932)"
"BUC","","","Bombay-duck","Scopelidé","","Bumalo","(Hamilton 1822)"
"HQM","فرفورة بلانفيل","双列荔枝螺","Two-row rock shell","Ovarque de Blainvi","","Púrpura de Blainv","(Blainville 1832)"
"HQJ","فرفُورة كَرنيب","葫芦荔枝螺","Gourd rock shell","Pourpre calebasse","","Púrpura melon","(Duclos 1832)"
"GLS","ألغيات قويعيَّة","革质江篱","Gracilaria seaweed","Algues gracilaires","","Gracilarias",""
"FYS","","","Nori nei","Nori nca","","Luche",""
"SSX","","","Sea squirts nei","Ascidiens nca","Асцидии","Ascidias nep",""
"SSG","البنفسجي","沟微饰海鞘","Grooved sea squirt","Violet","","Provecho","(Coquebert 1797)"
"INV","","","Aquatic invertebra","Invertébrés aqua","Беспозвоночные водные","Invertebrados acu ",""
"SWG","الطحالب  الخضراء","绿藻纲","Green seaweeds","Algues vertes","","Algas verdes",""
"MTN","خُسّ لامع","礁膜","Green laver","Laitue brillante","","Lechuga brillante","Wittrock 1866"
"TQX","","","Flag pen shell","Jambonneau noir","","","(Born 1778)"
"IAK","","","Bicolor pen shell","Jambonneau bicolor","","","Gmelin 1791"
"NAJ","","","Prickly pen shell","Jambonneau epineux","","","Linnaeus 1758"
"DUL","","","Butler's thorny oy","Spondyle de Butler","","","Reeve 1856"
"DSJ","","","Imperial thorny oy","Spondyle imperial","","","Chenu 1843"
"DSV","","","Golden thorny oyst","Spondyle doré","","","Schreibers 1793"
"KIP","فينوس صغيرة بيضاء","狭纹雪蛤","Small banded venus","Vénus blanche","","Venus blanca","(Broderip 1835)"
"TVB","تِفأل بيرون","拜伦帘蛤","Byron tivela","Tivel de Byron","","Tivela de Byron","(Gray 1838)"
"UCL","","","Hooked ark","Arche lippue","","","(Lightfoot 1786)"
"LAH","","","North European kel","","","","(Gunnerus) Foslie 1884"
"LCB","لابِييُو","蓝野鲮","Orangefin labeo","Labéo","Калбасу","Labeo","(Hamilton 1822)"
"MUC","شبّوط الوحل","鲮","Mud carp","Carpe de vase","Циррина ильная","Carpa de fango","(Valenciennes 1844)"
"CMG","","","Mrigal carp","","Мригала (=мригаль)","","(Hamilton 1822)"
"BKC","شبّوط أسود","青鱼","Black carp","Carpe noire","Амур черный","Carpa negra","(Richardson 1846)"
"SMC","","","Smoothmouth sea ca","Mâchoiron banderi","","Bagre bocalisa","Valenciennes 1840"
"GAT","","","White barbel","Barbillon blanc","","Bagre barba blanca","Valenciennes 1840"
"SOM","جري أو سمكة نهرية دون زعانف","欧鲇","Wels(=Som) catfish","Silure glane","Сом европейский","Siluro","Linnaeus 1758"
"MYN","","线尾鳠","Asian redtail catfish","","Косатка красноплавничная","","(Valenciennes 1840)"
"CAN","","","Naked catfishes","","","",""
"WAB","أبراميس بِّكين","鳊","White amur bream","Brème de Pékin","","Brema de Pekín","(Basilewsky 1855)"
"FCH","بنّيّ هوفن - بربيس هُوفن","细鲃","Hoven's carp","Barbus d'Hoven","Лептобарбус Хэвена","Barbo de Hoven","(Bleeker 1851)"
"CTO","","","Torpedo-shaped cat","","Сомы клариевые","",""
"CGM","فًتْرة هجينة","尖齿胡鲇与大头胡鲇杂交种","Africa-bighead catf...","Poisson-chat, hybride","","Pez-gato, híbrido",""
"CLZ","فًتْرة إفريقيا الشّماليّة","尖齿胡鲇","North African catf","Poisson-chat nord-","Сом клариевый африканский","Pez-gato","(Burchell 1822)"
"HEL","","","Sampa","","","","Valenciennes 1840"
"CAF","","","Catfishes nei","Barbottes nca","Сомы-кошки (=кошачьи сомы)","Bagres nep",""
"ITF","","","Blue catfish","","","Bagre azul","(Valenciennes 1840)"
"ITN","","","Yellow bullhead","","","","(Lesueur 1819)"
"PGP","","","Pangas catfish","","Пангасиус обыкновенный","","(Hamilton 1822)"
"TFK","","","Foliated tellin","Telline foliacée","","","Linnaeus 1758"
"NYU","","","","","","","G. O. Sars"
"YAV","","","","","","","Hansen 1911"
"NMX","","","","","","","Hansen 1911"
"YAP","","","","","","","Holmes 1900"
"YAN","","","","","","","Brandt 1851"
"UFL","","","","","","",""
"YAE","","","","","","","G. O. Sars 1885"
"YAI","","","","","","","Krøyer"
"UFE","","","","","","",""
"UFD","","","","","","",""
"UFR","","","","","","",""
"ODY","","","Reef odontoactylid","","","","(Linnaeus 1758)"
"RIK","","","Pastel odontodacty","","","","(White 1850)"
"LYQ","عُنصل عَظاية مَلِكَة","皇后琴虾蛄","Queen lizard manti","Squille lézard re","","Nape reina","(Stimpson 1857)"
"NQR","أم الخلول رينحارت","冉氏粗饰蚶","Reinhart's ark","Arche de Reinhart","","Arca de Reinhart","(Lowe 1935)"
"NQT","أم الخلول سوداء","黑粗饰蚶","Black ark","Arche noire","","Arca negra","(Sowerby 1833)"
"RAW","","","Hazelnut ark","Arche noisette","","","Lamarck 1819"
"RKM","","","Mossy ark","Arche crochue","","Arca pata de cabra","Bruguière 1789"
"RKQ","أم الخلول نُووِي","方形蛤","Noah's ark","Arche de Noé","","Arca de Noe","Linnaeus 1758"
"RQP","أم الخلول ها دئة","太平洋蛤","Chuchoca ark","Arche chuchoque","","Arca chuchoca","(Sowerby 1833)"
"RQV","","","Ventricose ark","Arche ventrue","","","Lamarck 1819"
"RQZ","","","Turkey wing","Arche zèbre","","Arca cebra","(Swainson 1833)"
"BQB","أم الخلول بِلِحْيَة","须蛏","Hairy ark","Arche barbue","","Arca barbada","(Linnaeus 1758)"
"RQD","إيربيان نهر أصابع صغيرة","短指沼虾","Shortfinger river ","Bouquet petits doi","","Cauque pulgarcito","Holthuis 1950"
"LMW","إيربيان كبير المدّ و الجزر","李氏长臂虾","Barred grass shrim","Bouquet des marée","","Camarón de mareas","Holmes 1895"
"KAG","عُلبة سرطان  حِرش","糙壳馒头蟹","Rough box crab","Migraine rugueuse","","Calapa amarilla","(Herbst 1803)"
"LQP","عُنصل مُخطَّطة","条纹琴虾蛄","Striped mantis","Squille rayée","","Nape rayado","Manning 1971"
"HQE","سُرْعوفَة غاطِسَة","龙骨半虾蛄","Keeled witch manti","Galin caréné","","Brujo quillon","Stephenson 1967"
"MUI","","","Morays nei","Murènes nca","","Morenas nep",""
"PCX","","","Pike-congers nei","Murénésoces nca","","Morenocios nep",""
"LIG","","","Greater lizardfish","Anoli tumbil","","Lagarto tumbil","(Bloch 1795)"
"GUT","","","Indo-Pacific king ","Thazard ponctué i","","Carite del Indo-Pa","(Bloch & Schneider 1801)"
"SSM","","","Atlantic Spanish m","Thazard atlantique","","Carite atlántico","(Mitchill 1815)"
"WAH","","","Wahoo","Thazard-bâtard","Ваху","Peto","(Cuvier 1832)"
"SIE","","","Pacific sierra","Thazard sierra du","","Carite sierra","Jordan & Starks 1895"
"DNT","","","Striate donax","Flion ridé","","Coquina rayada","Linnaeus 1767"
"DXL","دوناكس ناقِص","截形斧蛤","Truncate donax","Flion tronqué","","Coquina truncada","Linnaeus 1758"
"DNI","","","Banded donax","","","","Poli 1795"
"DXH","","","La Plata donax","","","","Philippi 1842"
"KRF","","","Pygmy krill","Krill pygmée","","Krill pigmeo","Hansen 1911"
"REP","","","Redtail prawn","Crevette queue rou","","Camarón rabo colo","Alcock 1905"
"PNU","","","Southern brown shr","Crevette grise du ","","Camarón café sur","Perez Farfante 1967"
"KUP","","","Kuruma prawn","Crevette kuruma","","Langostino japoné","Bate 1888"
"PNS","","","Blue shrimp","Crevette bleue","","Camarón azul","Stimpson 1874"
"FLP","","","Fleshy prawn","Crevette charnue","","Langostino carnoso","(Osbeck 1765)"
"TGS","","","Caramote prawn","Caramote","","Langostino","(Forsskål 1775)"
"PRB","","","Brown tiger prawn","Crevette tigrée s","","Langostino tigre m","Haswell 1879"
"PNI","","","Indian white prawn","Crevette blanche d","","Langostino blanco ","H. Milne Edwards 1837"
"KTZ","","","Pecten scallops ne","Peignes Pecten nca","","Vieiras Pecten nep",""
"XMS","","","Perna mussels nei","Moules Perna nca","","Mejillónes Perna n",""
"XML","","","Semeles nei","Sémèles nca","","Tumbaos, almejas b",""
"IEX","","","Sepiella cuttlefis","Sépias Sepiella nc","","Sepias Sepiella ne",""
"IOX","","","Sepiola bobtail sq","Sépioles Sepiola nc","","Sepiolas Sepiola n",""
"UHW","","","Reef squids nei","Calmars Sepioteuth","","Calamares Sepioteu",""
"BTH","","","Bigeye thresher","Renard à gros yeu","","Zorro ojón","(Lowe 1841)"
"OCH","","","Chilean flat oyste","Huître plate chil","","Ostra chilena","Philippi 1845"
"OYF","","","European flat oyst","Huître plate euro","","Ostra europea","Linnaeus 1758"
"CON","","","Stromboid conchs n","Strombes nca","","Cobos nep",""
"ARK","","","Ark clams nei","Arches nca","","Arcas nep",""
"MCL","","","Half-crenated ark","Arche crénelée","","Arca japonesa","(Lischke 1869)"
