"FIGIS_ID","ISCAAP_ID","NAME_en","NAME_fr","NAME_es","NAME_ar","NAME_cn","NAME_ru","Unit","Scientific.Name","Alpha3.Code","FAOMAP_LAYER_ID","Author"
"2373","1703906001","Pink dentex","Gros denté rose","Sama de pluma","","","","t","Dentex gibbosus","DEP","","(Rafinesque 1810)"
"19336","23121005XX","Maja spider crabs nei","Crabes araignées Maja nca","Cangrejos Maja nep","","","","t","Maja spp","JCX","",""
"19337","2130301503","","","Claca","","","","t","Megabalanus tintinnabulum","MBW","","(Linnaeus 1758)"
"2581","2260101101","Norwegian krill","Krill norvégien","Krill de Noruega","","","","t","Meganyctiphanes norvegica","NKR","","(M. Sars 1857)"
"2582","22801XXXXX027","Pacific seabobs","Crevettes seabob du Pacifique","Camaroncillos","","","","t","Xiphopenaeus, Trachypenaeus spp","BOS","",""
"3264","17402XXXXX","Surgeonfishes nei","Chirurgiens nca","Navajones nep","","","","t","Acanthuridae","SUR","",""
"3265","1740200412","Monrovia doctorfish","Chirurgien chas-chas","Navajón caniveta","","","","t","Acanthurus monroviae","MDO","","Steindachner 1876"
"3266","17505XXXXX","Snake mackerels, escolars nei","Escoliers, rouvets nca","Escolares, sierras nep","","","","t","Gempylidae","GEP","",""
"3267","1750500501","Escolar","Escolier noir","Escolar negro","","","","t","Lepidocybium flavobrunneum","LEC","","(Smith 1843)"
"17302","3162700102","Truncate lantern clam","Anatine tronquée","","","","","t","Laternula truncata","ELV","","(Lamarck 1818)"
"17303","3164700101","Undulated false lucine","Fausse lucine ondulée","Falsa lucina","لوسين مزيَّفة مُمَوَّجة","波纹糠虾","","t","Mysia undata","YIU","","(Pennant 1777)"
"17304","3164700201","False angel wing","Petricole fausse pholade","Falso ala de ángel","جناح مَلَك مُزَيَّف","伪住石蛤","","t","Petricola pholadiformis","PKH","","Lamarck 1818"
"17306","3163700205","Rough pen shell","Jambonneau rude","Pina aspera","","","","t","Pinna rudis","NNW","","Linnaeus 1758"
"17307","3163800106","Depressed sunset clam","Psammobie vespertinale","Almeja vespertina","كلامة غُروب الشمس مُنْخَفض","扁紫云蛤","","t","Gari depressa","GJD","","(Pennant 1777)"
"17300","3161102801","Script venus","Circe violette","","","","","t","Circe scripta","KKS","","(Linnaeus 1758)"
"17301","3161101104","Comb venus","Circe pectinee","","","","","t","Gafrarium pectinatum","GFP","","(Linnaeus 1758)"
"3268","1750500901","Silver gemfish","Escolier tifiati","Escolar plateado","","","Рексия южная (=южная змеевидная макрель)","t","Rexea solandri","GEM","","(Cuvier 1832)"
