"Item Group","Item Member"
" ","Ictiobus cyprinellus"
" ","Abramis brama"
" ","Tinca tinca"
" ","Alburnus alburnus"
" ","Carassius carassius"
" ","Rutilus rutilus"
" ","Rutilus frisii"
" ","Scardinius erythrophthalmus"
" ","Leuciscus idus"
" ","Labeo calbasu"
" ","Cirrhinus molitorella"
" ","Cirrhinus mrigala"
" ","Catla catla"
" ","Hypophthalmichthys spp"
" ","Notemigonus crysoleucas"
" ","Osteochilus hasselti"
" ","Probarbus jullieni"
" ","Rastrineobola argentea"
" ","Pelecus cultratus"
" ","Aspius aspius"
" ","Megalobrama amblycephala"
" ","Puntius spp"
" ","Barbonymus gonionotus"
" ","Tor putitora"
" ","Tor tor"
" ","Misgurnus anguillicaudatus"
" ","Catostomidae"
" ","Ictiobus spp"
" ","Cyprinidae"
" ","Abramis spp"
" ","Cyprinus carpio"
" ","Barbus barbus"
" ","Carassius auratus"
" ","Rutilus spp"
" ","Leuciscus spp"
" ","Leuciscus leuciscus"
" ","Labeo spp"
" ","Labeo rohita"
" ","Hypophthalmichthys nobilis"
" ","Ctenopharyngodon idellus"
" ","Hypophthalmichthys molitrix"
" ","Parabramis pekinensis"
" ","Leptobarbus hoeveni"
" ","Mylopharyngodon piceus"
" ","Tribolodon hakonensis"
" ","Acanthalburnus microlepis"
" ","Aaptosyax grypus"
" ","Abbottina rivularis"
" ","Aborichthys elongatus"
" ","Blicca bjoerkna"
" ","Acanthobrama lissneri"
" ","Acanthobrama terraesanctae"
" ","Acanthocobitis botia"
" ","Acanthopsoides delphax"
" ","Acanthorhodeus asmussii"
" ","Acantopsis choirorhynchos"
" ","Acapoeta tanganicae"
" ","Acheilognathus limbatus"
" ","Acheilognathus melanogaster"
" ","Acheilognathus rhombeus"
" ","Acheilognathus tabira"
" ","Acrocheilus alutaceus"
" ","Acrossocheilus hexagonolepis"
" ","Agosia chrysogaster"
" ","Albulichthys albuloides"
" ","Alburnoides bipunctatus"
" ","Alburnus albidus"
" ","Amblypharyngodon melettinus"
" ","Amblypharyngodon microlepis"
" ","Amblypharyngodon mola"
" ","Amblyrhynchichthys truncatus"
" ","Anabarilius polylepis"
" ","Anaecypris hispanica"
" ","Annamia normani"
" ","Aphyocypris chinensis"
" ","Aspidoparia jaya"
" ","Aspidoparia morar"
" ","Aspiolucius esocinus"
" ","Aulopyge huegelii"
" ","Balantiocheilos melanopterus"
" ","Balitora annamitica"
" ","Bangana behri"
" ","Barbatula barbatula"
" ","Barbichthys nitidus"
" ","Barbonymus altus"
" ","Barbodes balleroides"
" ","Barbodes platysoma"
" ","Barboides gracilis"
" ","Barbopsis devecchii"
" ","Barbucca diabolica"
" ","Barbus aeneus"
" ","Barbus altianalis"
" ","Barbus altidorsalis"
" ","Barbus bynni"
" ","Barbus callensis"
" ","Barbus canis"
" ","Barbus capensis"
" ","Barbus eurystomus"
" ","Luciobarbus graellsii"
" ","Barbus haasi"
" ","Barbus holotaenia"
" ","Barbus johnstonii"
" ","Barbus lineomaculatus"
" ","Barbus longiceps"
" ","Barbus macrotaenia"
" ","Barbus marequensis"
" ","Barbus mattozi"
" ","Barbus meridionalis"
" ","Barbus neumayeri"
" ","Barbus paludinosus"
" ","Barbus perince"
" ","Barbus plebejus"
" ","Luciobarbus sclateri"
" ","Barbus trimaculatus"
" ","Barbus tropidolepis"
" ","Barbus unitaeniatus"
" ","Barilius bakeri"
" ","Barilius barila"
" ","Barilius barna"
" ","Barilius bendelisis"
" ","Barilius bola"
